DESCRIPTION,NAME,QTY,$ EA,$ TOTAL,VENDOR,PACKAGE,URL
100uF polarized,C1,1,$0.32,$0.32,Mouser,1206,https://www.mouser.com/ProductDetail/Vishay-Sprague/TMCMA0J107MTRF?qs=sGAEpiMZZMsh%252b1woXyUXj8ZBpshKnRD9Urn1nHw66Oc%3d
"Transformer,100:1",L1,1,$2.35,$2.35,Mouser,,https://www.mouser.com/ProductDetail/?qs=pjml9%2f2fuKWa8at%252bCNJGdw%3d%3d
1nF ceramic,C2,1,$0.11,$0.11,Mouser,0603,https://www.mouser.com/ProductDetail/810-C0603JB1E102K03A
330pF ceramic,C3,1,$0.29,$0.29,Mouser,0603,https://www.mouser.com/ProductDetail/TDK/CGJ3E2C0G2A331J080AA?qs=sGAEpiMZZMs0AnBnWHyRQFzBYxg9rzNc7tLUt5yzUHg%3d
"2.2uF ceramic,6.3V,20%",C4,1,$0.26,$0.26,Mouser,0603,https://www.mouser.com/ProductDetail/TDK/C1608X7R1A225M080AE?qs=sGAEpiMZZMs0AnBnWHyRQOuo8k2TOK6l30b51ZhBZsB1KxAT09PAJg%3d%3d
"1.0uF ceramic,25V,10%",C5,1,$0.18,$0.18,Mouser,0603,https://www.mouser.com/ProductDetail/81-GRT033R60J105ME3D
LTC3108,U1,1,$6.42,$6.42,Mouser,SSOP-16,https://www.mouser.com/ProductDetail/Analog-Devices-Linear-Technology/LTC3108IGNPBF?qs=sGAEpiMZZMvi6wO7nhr1L4dE3WTz7muhhBHWZSE%252btpM%3d
0.1F 3.5V supercap,,1,$3.49,$3.49,Mouser,,https://www.mouser.com/ProductDetail/KEMET/FC0V104ZFTBR24?qs=sGAEpiMZZMuDCPMZUZ%252bYlzGTqubQTce6IQONzwB0TRI%3d
ATtiny85,U2,1,$1.16,$1.16,Mouser,SOIC-8,https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATtiny85-20SU?qs=sGAEpiMZZMvqv2n3s2xjsVIKSdqlAUq6CgcwfcDso9I%3d
White SMD LEDs,LED,1,$0.46,$0.46,Mouser,0805,https://www.mouser.com/ProductDetail/Lite-On/LTW-170TK?qs=sGAEpiMZZMseGfSY3csMkRWvREv4KGsHQ%252bAW7uQFMAg%3d
TEG module,TEG,1,$15.71,$15.71,TEG Mart,,http://www.tegmart.com/thermoelectric-generator-modules/tegpro-thermoelectric-generator-module-1-watt-2-vdc-low-temp/
